IdLabel;unitLabel;ActiveFlower
Bat1;CondMod1;1
Bat1;CondMod2;1
Bat2;CondMod3;1
Bat2;CondMod4;1
Bat3;CondMod5;1
Bat3;CondMod6;1
Bat4;CondMod7;1
Bat4;CondMod8;1
Bat5;CondMod3;1
Bat5;CondMod4;1
Bat6;CondMod1;1
Bat6;CondMod2;1
Bat7;CondMod7;1
Bat7;CondMod8;1
Bat8;CondMod5;1
Bat8;CondMod6;1
Bat9;CondMod1;1
Bat9;CondMod2;1
Bat10;CondMod3;1
Bat10;CondMod4;1
Bat11;CondMod5;1
Bat11;CondMod6;1
Bat12;CondMod7;1
Bat12;CondMod8;1
Bat13;CondMod1;1
Bat13;CondMod2;1
Bat14;CondMod3;1
Bat14;CondMod4;1
Bat15;CondMod5;1
Bat15;CondMod6;1
Bat16;CondMod7;1
Bat16;CondMod8;1
Bat17;CondMod1;1
Bat17;CondMod2;1
Bat18;CondMod3;1
Bat18;CondMod4;1
Bat19;CondMod5;1
Bat19;CondMod6;1
Bat20;CondMod7;1
Bat20;CondMod8;1
